Wall time,Step,Value
1632356772.2059507,0,-317.7386779785156
1632356772.8754253,1,-463.0004577636719
1632356773.3013973,2,-602.0618896484375
1632356773.9688995,3,-468.6463623046875
1632356782.9164956,4,-516.5473022460938
1632356783.8887837,5,-344.6931457519531
1632356784.770074,6,-338.73614501953125
1632356785.4687037,7,-186.24908447265625
1632356786.0347202,8,-618.4159545898438
1632356786.568515,9,-550.2786254882812
1632356787.0313816,10,-348.61224365234375
1632356787.5904608,11,-347.9635314941406
1632356788.304597,12,-236.09561157226562
1632356789.0354567,13,-71.65655517578125
1632356790.3104281,14,-37.644981384277344
1632356791.1139355,15,-154.207275390625
1632356791.8169005,16,-252.283935546875
1632356792.5253077,17,-68.77862548828125
1632356793.1233242,18,-339.65447998046875
1632356793.791589,19,-496.60693359375
1632356796.3788183,20,-468.012939453125
1632356797.4017246,21,-146.7488555908203
1632356799.547217,22,-37.36697769165039
1632356800.86026,23,-154.09056091308594
1632356801.661592,24,-30.437467575073242
1632356803.9256542,25,-198.7865447998047
1632356805.189651,26,-70.1659164428711
1632356809.1956742,27,-178.5314483642578
1632356812.4394848,28,-235.58079528808594
1632356817.40363,29,-177.51531982421875
1632356819.2839386,30,-191.378662109375
1632356819.8624651,31,-160.95606994628906
1632356821.8818862,32,-154.6196746826172
1632356822.9380164,33,-242.6832275390625
1632356823.463309,34,-37.80679702758789
1632356824.1247969,35,-319.3874816894531
1632356825.4740562,36,-53.92203140258789
1632356826.8180456,37,-247.11280822753906
1632356827.4822714,38,-201.29989624023438
1632356829.80378,39,-139.68197631835938
1632356831.229957,40,-167.2852325439453
1632356832.704266,41,-57.02876663208008
1632356833.1930418,42,-129.2356414794922
1632356833.8506308,43,-345.3342590332031
1632356834.317487,44,-114.80902099609375
1632356834.8689017,45,-49.4920654296875
1632356836.0155144,46,-97.56448364257812
1632356836.9709437,47,-91.51964569091797
1632356837.615631,48,-107.43318176269531
1632356839.7576368,49,-131.56637573242188
1632356840.6776395,50,-22.812061309814453
1632356841.1078477,51,-88.02835845947266
1632356841.527963,52,-105.45585632324219
1632356842.1159801,53,-120.39974975585938
1632356842.8976336,54,-16.334957122802734
1632356843.7811525,55,18.176725387573242
1632356844.3034453,56,-102.33411407470703
1632356846.0117698,57,-218.51475524902344
1632356846.9405265,58,-452.5205993652344
1632356847.62919,59,33.867000579833984
1632356848.5975697,60,-18.4519100189209
1632356849.421441,61,-267.7751770019531
1632356850.3143325,62,-89.53363800048828
1632356851.3559089,63,-341.4417419433594
1632356852.1425984,64,-269.7281799316406
1632356853.7896538,65,-178.48875427246094
1632356854.6476157,66,-142.5913543701172
1632356855.407002,67,-96.2552719116211
1632356856.4905171,68,-118.00452423095703
1632356857.6028578,69,-333.9316101074219
1632356858.5315049,70,-87.29373931884766
1632356859.4748533,71,-128.85321044921875
1632356860.4090512,72,-219.8692626953125
1632356861.2631907,73,-133.6278076171875
1632356862.344494,74,-59.429080963134766
1632356863.5989013,75,-117.76600646972656
1632356864.6229858,76,-186.23678588867188
1632356866.8819087,77,-218.9673614501953
1632356868.0355155,78,-141.99668884277344
1632356869.5199223,79,-101.31745147705078
1632356870.3238752,80,-204.2051544189453
1632356874.4646342,81,20.49089241027832
1632356875.0623536,82,-269.9339904785156
1632356875.7379088,83,-201.2909698486328
1632356876.2617724,84,-240.0461883544922
1632356880.779884,85,-25.150541305541992
1632356881.3384898,86,-253.03590393066406
