Wall time,Step,Value
1632349306.8299806,0,-449.1162414550781
1632349312.0748625,1,-144.78868103027344
1632349312.7556527,2,-299.35089111328125
1632349316.9138863,3,-552.400634765625
1632349317.6367757,4,-385.9892272949219
1632349318.2921407,5,-440.1097106933594
1632349318.9572747,6,-611.4503784179688
1632349319.729948,7,-526.1985473632812
1632349320.4351628,8,-382.9788818359375
1632349321.1361628,9,-544.4908447265625
1632349321.6531034,10,-1020.8862915039062
1632349322.2870047,11,-332.1053771972656
1632349322.6598935,12,-470.8923034667969
1632349323.271974,13,-334.43756103515625
1632349324.0577247,14,-315.4503173828125
1632349324.8580246,15,-176.07752990722656
1632349325.6060746,16,-211.84974670410156
1632349326.5184085,17,-27.478906631469727
1632349327.6237578,18,-907.1136474609375
1632349328.4246671,19,-391.3061828613281
1632349328.6878388,20,-141.37969970703125
1632349329.1899838,21,-240.96591186523438
1632349330.0482721,22,-297.9657897949219
1632349330.9075418,23,-218.2958984375
1632349331.942264,24,-474.17474365234375
1632349332.7815828,25,-199.21189880371094
1632349333.9105754,26,-257.5750427246094
1632349334.5466197,27,-137.42115783691406
1632349335.6221383,28,-306.1614990234375
1632349336.2365918,29,-146.53045654296875
1632349336.8431308,30,-173.01365661621094
1632349338.3225093,31,-183.30166625976562
1632349343.485974,32,-114.29084014892578
1632349346.705414,33,-63.873050689697266
1632349351.2761111,34,-234.38002014160156
1632349356.950381,35,-94.19080352783203
1632349357.3063443,36,-126.3515853881836
1632349360.6213703,37,-152.31658935546875
1632349363.6191134,38,-212.6411895751953
1632349368.719833,39,-99.3023452758789
1632349370.7962627,40,-218.6049346923828
1632349376.9611604,41,-107.10777282714844
1632349382.8812797,42,-104.96487426757812
1632349389.0189888,43,-127.0697021484375
1632349395.223891,44,-281.50048828125
1632349401.035765,45,-117.27835083007812
1632349402.2025719,46,-137.9257354736328
1632349402.5654573,47,-418.2355041503906
1632349408.9829512,48,-95.02327728271484
1632349425.2250483,49,-124.72583770751953
1632349431.1141396,50,-59.7429313659668
1632349431.580169,51,-40.33901596069336
1632349432.594192,52,-94.05601501464844
1632349433.9313476,53,-106.08802032470703
1632349434.2381907,54,-32.08054733276367
1632349434.6686695,55,-42.035369873046875
1632349435.4432878,56,235.41542053222656
1632349435.9064488,57,-50.550071716308594
1632349436.2258782,58,-502.1414489746094
1632349436.505163,59,-297.334716796875
1632349436.7836354,60,-659.29736328125
1632349437.313611,61,-360.36614990234375
1632349437.803405,62,-336.04827880859375
1632349438.5010278,63,-136.48086547851562
1632349438.775032,64,-187.43838500976562
1632349440.0930462,65,18.05078125
1632349440.6166635,66,-605.5602416992188
1632349441.1617308,67,1.3162415027618408
1632349441.5540643,68,-353.9410095214844
1632349441.9335828,69,-1.5195764303207397
1632349442.4753063,70,-327.16741943359375
1632349442.9763002,71,-293.3809509277344
1632349443.3848205,72,-686.3213500976562
1632349443.8714228,73,-371.85595703125
1632349444.27977,74,-61.5790901184082
1632349444.8793693,75,-143.19744873046875
1632349445.3183217,76,-97.24845886230469
1632349445.7001038,77,-333.166015625
1632349446.0739985,78,-536.7535400390625
1632349446.5720062,79,-269.4471130371094
1632349447.2060807,80,-580.0336303710938
1632349447.6134727,81,-229.76226806640625
1632349450.802057,82,-115.94551849365234
1632349451.1698718,83,-672.1334228515625
1632349451.58246,84,-297.2038879394531
1632349451.954963,85,-305.50701904296875
1632349452.3685553,86,-657.2142333984375
1632349452.7053444,87,-350.6361999511719
1632349453.0281622,88,-232.74114990234375
1632349453.4348729,89,-552.6103515625
1632349453.7960367,90,-543.0807495117188
1632349454.1399863,91,-526.9990234375
1632349454.5219898,92,-621.1336059570312
1632349454.8385487,93,-495.103271484375
1632349455.1411235,94,-461.7501525878906
1632349455.4604483,95,-572.2947387695312
1632349455.976636,96,-627.946533203125
1632349456.356201,97,-409.9837646484375
1632349456.756033,98,-200.27456665039062
1632349458.4089289,99,-325.6634826660156
1632349458.8352656,100,-213.50054931640625
1632349459.1390994,101,-340.3423156738281
1632349459.6557772,102,-498.260009765625
1632349460.420972,103,-594.3204956054688
1632349460.9955213,104,-388.1819152832031
1632349461.2876837,105,-337.5171813964844
1632349461.595916,106,-266.6552429199219
1632349462.0417564,107,-390.29449462890625
1632349462.5113628,108,-317.2268981933594
1632349462.8188832,109,-107.91619873046875
