Wall time,Step,Value
1632329559.4756334,0,-205.7694549560547
1632329560.0876896,1,-51.95176696777344
1632329560.725453,2,-393.344482421875
1632329561.0913398,3,-342.679931640625
1632329561.5951211,4,-184.55519104003906
1632329562.14249,5,-151.20468139648438
1632329562.5204296,6,-128.6906280517578
1632329563.090838,7,-390.93408203125
1632329563.4778187,8,-288.92010498046875
1632329563.879101,9,-359.61505126953125
1632329564.1714985,10,-58.461124420166016
1632329564.7856028,11,-270.1666259765625
1632329565.1781285,12,-203.88497924804688
1632329565.6085916,13,-136.41839599609375
1632329565.9643164,14,-266.4463195800781
1632329566.3618116,15,-102.97650909423828
1632329566.6997564,16,-420.4051818847656
1632329566.9577472,17,-124.2350082397461
1632329567.530777,18,-214.65982055664062
1632329567.9017622,19,-90.28206634521484
1632329568.279125,20,-277.2365417480469
1632329568.6445463,21,-130.0365447998047
1632329569.0227292,22,-443.1283874511719
1632329569.3875291,23,-208.24232482910156
1632329569.7849221,24,-388.4494934082031
1632329570.054976,25,-135.5140380859375
1632329570.5341535,26,-232.96975708007812
1632329570.8678794,27,-142.09580993652344
1632329571.3615675,28,-109.12950134277344
1632329571.8158793,29,-486.4748229980469
1632329572.2632227,30,-270.34857177734375
1632329572.5480614,31,-279.9361267089844
1632329572.8265042,32,-212.9593048095703
1632329573.1987581,33,-67.4421615600586
1632329573.523026,34,-563.442138671875
1632329573.9851553,35,-281.0137939453125
1632329574.259465,36,-65.41724395751953
1632329574.5661778,37,-86.25608825683594
1632329574.9732735,38,-125.67638397216797
1632329575.2165508,39,-123.12628936767578
1632329575.6483257,40,-429.38214111328125
1632329575.9680676,41,-88.58519744873047
1632329576.3361616,42,-243.50233459472656
1632329576.619081,43,-82.82763671875
1632329577.060716,44,-101.0408935546875
1632329577.574742,45,-140.32127380371094
1632329577.9547327,46,-447.48797607421875
1632329578.2802584,47,-296.51568603515625
1632329578.5966995,48,-111.28044891357422
1632329580.0794754,49,-196.03953552246094
1632329580.4099581,50,-365.40753173828125
1632329580.794997,51,-38.81609344482422
1632329581.0512586,52,11.01306438446045
1632329581.3611739,53,-108.74382781982422
1632329581.9859574,54,-398.57366943359375
1632329582.2290072,55,-78.37457275390625
1632329582.4883597,56,-128.5369110107422
1632329582.7358973,57,-70.72762298583984
1632329583.1024065,58,-119.86918640136719
1632329583.5502455,59,-164.358642578125
1632329584.016801,60,-131.621826171875
1632329584.4410791,61,-366.3513488769531
1632329584.7294908,62,-71.49706268310547
1632329585.1830947,63,-29.386518478393555
1632329585.5521348,64,-421.0086669921875
1632329585.9152493,65,-481.034423828125
1632329586.2957087,66,-6.280106544494629
1632329586.587515,67,-203.5076141357422
1632329586.952866,68,-352.92095947265625
1632329587.2161674,69,-97.44239044189453
1632329587.6901133,70,-70.4212646484375
1632329588.06225,71,-75.97142028808594
1632329588.3936076,72,-265.2660217285156
1632329588.781507,73,-375.52276611328125
1632329589.0312681,74,-65.08416748046875
1632329589.41507,75,-318.57940673828125
1632329589.7818956,76,-231.1065673828125
1632329590.2080452,77,-501.2864074707031
1632329590.633025,78,-90.58573913574219
1632329591.097741,79,-302.76690673828125
1632329591.4789338,80,-482.0754699707031
1632329591.7986593,81,-93.28984832763672
1632329592.131001,82,-390.01116943359375
1632329592.374231,83,-385.7064208984375
1632329592.60365,84,-78.2552719116211
1632329592.8675349,85,-79.48346710205078
1632329593.240788,86,-49.91521453857422
1632329593.578043,87,-389.6968688964844
1632329593.8744085,88,-61.83355712890625
1632329594.18402,89,-114.09541320800781
1632329594.5516944,90,-646.2850952148438
1632329594.9841433,91,-487.8695068359375
1632329595.3580742,92,-483.7696228027344
1632329595.597507,93,-34.68273162841797
1632329595.9065828,94,-571.487060546875
1632329596.234163,95,-711.9363403320312
1632329596.5764415,96,-144.36717224121094
1632329596.9768372,97,-220.44847106933594
1632329597.3193355,98,-538.2933959960938
1632329599.0369394,99,-221.0958251953125
1632329599.432777,100,-337.727294921875
1632329600.2208786,101,-193.0266571044922
1632329600.6427913,102,-396.4401550292969
1632329601.1444337,103,-550.2169189453125
1632329601.5018835,104,-535.7236938476562
1632329601.9614954,105,-297.2555847167969
1632329602.29928,106,-332.0533447265625
1632329602.9435637,107,-346.589111328125
1632329603.2931926,108,-547.6061401367188
1632329603.7243865,109,-168.4409942626953
1632329604.392481,110,-448.3118591308594
1632329605.0606213,111,-436.21588134765625
1632329605.4841013,112,-457.2232360839844
1632329606.139917,113,-378.25750732421875
1632329606.7179754,114,-413.53564453125
1632329607.0910313,115,-602.581298828125
1632329607.5584085,116,-250.5298614501953
1632329608.006148,117,-215.81350708007812
