Wall time,Step,Value
1632321990.823718,0,-414.3853454589844
1632321991.4251206,1,-390.75244140625
1632321991.9031756,2,-375.43914794921875
1632321992.51834,3,-247.5679168701172
1632321993.0188346,4,-381.8353576660156
1632321993.3937616,5,-341.9746398925781
1632321993.8008118,6,-273.3099060058594
1632321994.1628895,7,-326.3396301269531
1632321994.560123,8,-332.23016357421875
1632321994.9104218,9,-438.071533203125
1632321995.89471,10,-520.8473510742188
1632321996.4357514,11,-199.62168884277344
1632321996.9347427,12,-436.66290283203125
1632321997.2855062,13,-389.92498779296875
1632321998.0137165,14,-304.4684753417969
1632321998.3082523,15,-268.20245361328125
1632321998.638732,16,-532.4306030273438
1632321999.8218765,17,-150.79127502441406
1632322001.3605845,18,-179.2017364501953
1632322001.7217495,19,-201.97169494628906
1632322002.7832143,20,-206.25494384765625
1632322003.0960274,21,-411.8226318359375
1632322004.292348,22,-180.0316925048828
1632322005.1217556,23,-295.841552734375
1632322005.970067,24,-430.83111572265625
1632322006.3753314,25,-301.6668701171875
1632322008.070774,26,-281.618896484375
1632322008.513566,27,-250.999755859375
1632322008.9985192,28,-248.51853942871094
1632322009.5270503,29,-191.70846557617188
1632322010.524583,30,-74.61624908447266
1632322011.4886308,31,-120.4704818725586
1632322012.0922112,32,-521.1935424804688
1632322012.8315356,33,-494.2802429199219
1632322014.4206262,34,-251.0295867919922
1632322015.9936461,35,-240.62156677246094
1632322016.679717,36,-315.7340087890625
1632322017.3736765,37,-179.85743713378906
1632322018.1486256,38,-255.16925048828125
1632322018.8555107,39,-263.26043701171875
1632322019.4456103,40,-366.7006530761719
1632322020.6133873,41,-405.1467590332031
1632322021.2065217,42,-262.0513000488281
1632322021.827449,43,-364.2756042480469
1632322022.4879272,44,-531.4662475585938
1632322023.074268,45,-169.02728271484375
1632322023.5868075,46,39.00723648071289
1632322024.0494897,47,-277.4354248046875
1632322024.6094515,48,-457.1116027832031
1632322027.3881087,49,-41.44902420043945
1632322027.7683039,50,-76.94027709960938
1632322028.991223,51,-119.97998809814453
1632322029.5841675,52,-286.26300048828125
1632322030.1038396,53,-163.1994171142578
1632322030.614432,54,-145.0382080078125
1632322031.1796668,55,-299.5444641113281
1632322031.7130954,56,-154.30772399902344
1632322032.2412581,57,-337.8514099121094
1632322032.6707873,58,-238.99827575683594
1632322033.3489292,59,-288.0272216796875
1632322033.8172925,60,-460.4794006347656
1632322034.229105,61,-442.16064453125
1632322034.6960416,62,-400.1199951171875
1632322035.1775184,63,-329.3677673339844
1632322035.5753672,64,-361.8047790527344
1632322036.1562266,65,-236.8653106689453
1632322036.5259664,66,-332.77362060546875
1632322036.9988241,67,-145.28076171875
1632322037.5447478,68,-204.5104217529297
1632322037.9661143,69,-378.5293884277344
1632322038.571633,70,-226.14080810546875
1632322039.1329951,71,-152.52310180664062
1632322040.0033152,72,-65.2916259765625
1632322040.3077016,73,-279.5475769042969
1632322040.9445007,74,-285.04498291015625
1632322041.313773,75,-282.00958251953125
1632322041.8375504,76,-166.14492797851562
1632322042.3002067,77,-272.0753479003906
1632322042.826094,78,-330.2492980957031
1632322043.7279456,79,-235.44808959960938
1632322044.16667,80,-295.25677490234375
1632322044.7012017,81,-208.75830078125
1632322045.2886703,82,-443.0650329589844
1632322045.882569,83,-204.3275909423828
1632322046.4172995,84,-221.87330627441406
1632322046.9794383,85,-342.8338623046875
1632322047.5407765,86,-136.18199157714844
1632322047.9438488,87,-150.14715576171875
1632322048.4338357,88,-261.9483337402344
1632322048.8811343,89,-124.71772003173828
1632322049.3259115,90,-114.27198028564453
1632322050.1052508,91,-166.48594665527344
1632322050.5723732,92,-48.34218215942383
1632322051.0013406,93,-170.17642211914062
1632322051.750295,94,-143.38330078125
1632322052.3384812,95,-190.58111572265625
1632322052.9603386,96,-162.31704711914062
1632322054.0955448,97,-397.282470703125
1632322054.7196953,98,-120.86116027832031
1632322058.376493,99,-270.2461242675781
1632322059.432909,100,-287.4902038574219
1632322059.9928348,101,-47.87122344970703
1632322060.4661553,102,-21.011653900146484
1632322061.0364764,103,-103.30703735351562
1632322061.5587342,104,-72.58695220947266
1632322062.2525806,105,-166.3473663330078
1632322063.0260432,106,-179.24330139160156
1632322063.7766438,107,-110.1233139038086
1632322067.269657,108,159.3987274169922
1632322068.5297658,109,-111.56220245361328
1632322069.2851312,110,-120.689208984375
1632322070.8631873,111,-119.67010498046875
1632322071.6326926,112,-93.87576293945312
1632322072.5947275,113,-127.3980484008789
1632322073.3642347,114,-117.17117309570312
1632322074.352104,115,-125.90303039550781
1632322076.7305317,116,-218.71734619140625
1632322078.4656382,117,-222.36700439453125
1632322081.007579,118,-201.75132751464844
1632322083.676482,119,-170.71212768554688
1632322086.7265267,120,-206.45742797851562
1632322092.7181642,121,-147.59146118164062
1632322098.5881734,122,-56.058345794677734
1632322105.4228125,123,-42.068599700927734
1632322112.1713393,124,-101.06342315673828
1632322118.9976664,125,-54.75981140136719
1632322125.8564794,126,-53.64711380004883
1632322126.9925826,127,-131.1304168701172
1632322127.5149355,128,-161.92333984375
1632322127.9076679,129,-112.26472473144531
1632322134.0437806,130,-29.01331901550293
1632322140.4971268,131,-105.41051483154297
1632322141.0871742,132,-95.16345977783203
1632322141.633591,133,-86.08015441894531
1632322142.1060095,134,-315.5189514160156
1632322142.5013883,135,-90.16779327392578
1632322142.9707325,136,-121.31168365478516
1632322143.4727838,137,-227.68130493164062
1632322144.0289855,138,-186.02818298339844
1632322144.6289907,139,-298.2525939941406
1632322151.783876,140,-11.913520812988281
1632322160.066931,141,-69.2580337524414
1632322160.770665,142,-230.12254333496094
1632322161.218472,143,-58.98019790649414
1632322161.9465096,144,-172.33468627929688
1632322165.709414,145,175.18846130371094
1632322174.4464202,146,-73.4468765258789
1632322175.637041,147,-96.99488830566406
1632322176.075558,148,-84.24435424804688
1632322178.7846682,149,22.657882690429688
1632322179.2873797,150,-97.61565399169922
1632322181.7112255,151,-106.38423156738281
1632322184.1795454,152,-153.62001037597656
1632322185.2403958,153,-51.31242370605469
1632322187.5242689,154,-86.44291687011719
1632322189.3126698,155,-82.2633056640625
1632322190.4290133,156,-127.66793060302734
1632322191.210557,157,-110.47518920898438
1632322195.660855,158,-234.6839599609375
1632322198.3091621,159,-262.176513671875
1632322204.0826683,160,-350.2577819824219
1632322209.075521,161,-238.11778259277344
1632322216.4057398,162,-325.4554443359375
1632322218.9568512,163,-175.69459533691406
1632322221.390222,164,-316.2845458984375
1632322226.1637056,165,-177.94699096679688
1632322231.2295856,166,-284.60675048828125
1632322233.8614244,167,-44.327674865722656
1632322238.2594175,168,-106.62413024902344
1632322243.33482,169,-252.7586212158203
1632322245.245774,170,-290.35015869140625
1632322249.6195683,171,-323.3858337402344
1632322251.8048668,172,-70.50209045410156
1632322257.6762075,173,-244.44264221191406
1632322260.713451,174,-89.39383697509766
1632322261.7499104,175,-5.10366153717041
1632322264.1549876,176,-62.68571853637695
1632322269.7713003,177,-320.3782958984375
1632322270.3664675,178,-197.92172241210938
1632322275.8126523,179,-149.11268615722656
1632322284.6049838,180,-132.2076416015625
1632322288.6126616,181,-135.6187286376953
1632322295.3289723,182,-72.5289077758789
1632322296.1583278,183,-150.4361114501953
1632322296.69591,184,-170.0503387451172
1632322305.8950741,185,-116.68724822998047
1632322312.913272,186,-29.332609176635742
1632322319.9939823,187,-93.1897964477539
1632322320.8151853,188,-96.09683227539062
1632322327.7718413,189,-89.44998931884766
1632322329.059775,190,-118.2498779296875
1632322329.9650338,191,-211.46707153320312
1632322336.613504,192,-122.29145812988281
1632322340.477474,193,-152.31143188476562
1632322340.9829671,194,-133.29071044921875
1632322341.7254205,195,-331.3930969238281
1632322346.32707,196,-333.0361022949219
1632322347.2328408,197,31.699312210083008
1632322348.4673643,198,-314.26263427734375
1632322350.5090945,199,-269.2026062011719
1632322351.1870449,200,-222.5045928955078
1632322352.9352627,201,-323.9720153808594
1632322353.6668203,202,-100.53486633300781
1632322354.5236611,203,-112.14653778076172
1632322359.227996,204,-150.06346130371094
1632322360.1765966,205,-86.84336853027344
1632322367.6842527,206,-112.42086791992188
1632322371.0313241,207,-230.90382385253906
1632322371.738176,208,-203.1241912841797
1632322372.7133226,209,-130.03286743164062
1632322380.8140125,210,7.637112617492676
1632322381.493812,211,-22.293638229370117
1632322382.3207202,212,-185.95172119140625
1632322383.246736,213,-192.8674774169922
1632322384.4362705,214,-99.47075653076172
1632322384.9450734,215,-160.7635498046875
1632322394.537569,216,-19.220901489257812
1632322397.1397493,217,166.0458526611328
1632322398.4840882,218,-91.67867279052734
1632322402.3366673,219,-434.60760498046875
1632322403.8837895,220,-214.1785125732422
1632322412.3068106,221,-58.05747985839844
1632322413.6844172,222,57.40846633911133
1632322414.2817237,223,-108.54006958007812
1632322422.6405718,224,6.928353786468506
1632322430.2676523,225,-54.19880676269531
1632322431.007024,226,-0.21176686882972717
1632322440.2134218,227,-73.67561340332031
1632322448.73132,228,-39.9622688293457
1632322449.1728888,229,15.094493865966797
1632322454.2487357,230,117.0473403930664
1632322455.279685,231,-23.041799545288086
1632322455.9360604,232,-137.2909698486328
1632322456.7891881,233,-85.59778594970703
1632322460.3979557,234,166.27430725097656
1632322463.434291,235,169.1094512939453
1632322471.6342764,236,15.943361282348633
1632322480.162917,237,88.19642639160156
1632322488.9763482,238,22.803050994873047
1632322495.8288414,239,223.91830444335938
1632322496.6733081,240,-171.51876831054688
1632322503.86968,241,-56.86857986450195
1632322504.8203843,242,-239.63983154296875
1632322514.2012775,243,30.377323150634766
1632322517.6753902,244,231.98248291015625
1632322523.5079622,245,224.55941772460938
1632322525.3240523,246,-125.50694274902344
1632322530.475032,247,187.17160034179688
1632322533.2885427,248,163.9457244873047
1632322541.8234832,249,204.16224670410156
1632322545.8794155,250,249.03370666503906
1632322546.7972734,251,10.458430290222168
1632322550.3483799,252,177.85797119140625
1632322553.1039941,253,-31.88739585876465
1632322557.3726785,254,178.06077575683594
1632322562.3537343,255,185.55162048339844
1632322566.0550964,256,241.93695068359375
1632322574.8478515,257,43.3772087097168
1632322579.745895,258,165.63873291015625
1632322583.3556263,259,180.046630859375
1632322591.992622,260,34.8367919921875
1632322594.8823662,261,225.38265991210938
1632322597.1685731,262,-19.256635665893555
1632322599.3663516,263,-30.438386917114258
1632322604.6210032,264,254.19468688964844
1632322610.0855258,265,193.48728942871094
1632322611.6698854,266,-271.8077087402344
1632322612.922822,267,-373.67974853515625
1632322621.082269,268,23.035743713378906
1632322629.265069,269,-11.30630111694336
1632322632.2590764,270,280.86767578125
1632322640.1423914,271,-13.080410957336426
1632322649.566452,272,-58.79127883911133
1632322650.457091,273,39.30727005004883
1632322651.3870974,274,15.534490585327148
1632322652.4281442,275,28.98759651184082
1632322655.186587,276,-250.1100311279297
1632322664.6748798,277,143.05532836914062
1632322665.8782072,278,-239.5850830078125
1632322674.1161096,279,3.8158631324768066
1632322675.8570132,280,-286.4552917480469
1632322684.7516136,281,53.1965217590332
1632322689.276202,282,167.8611602783203
1632322693.528595,283,-278.9684753417969
1632322697.8482575,284,-234.69935607910156
1632322700.658937,285,15.204154014587402
1632322710.283247,286,105.34567260742188
1632322714.0837064,287,235.14788818359375
1632322715.9316437,288,-292.2550354003906
1632322716.8094306,289,-19.621702194213867
1632322721.9017913,290,154.96636962890625
1632322725.5213377,291,233.7474822998047
1632322735.0492334,292,110.26017761230469
1632322738.8027976,293,259.5794372558594
1632322739.873473,294,-6.839908123016357
1632322748.6438713,295,64.31168365478516
1632322751.7392159,296,-135.3787841796875
1632322757.2396924,297,187.7076873779297
1632322766.6319437,298,-55.693702697753906
1632322772.9400296,299,-38.91556930541992
1632322782.2085896,300,-43.266544342041016
1632322790.7251046,301,81.22515106201172
1632322793.129271,302,250.4339141845703
1632322803.405576,303,-49.60841369628906
1632322804.730526,304,20.377124786376953
1632322809.4484425,305,163.57240295410156
1632322814.5792806,306,-222.3566436767578
1632322815.2217183,307,-21.88096809387207
1632322819.725195,308,133.51370239257812
1632322820.982972,309,-322.7460021972656
1632322830.7409668,310,51.910377502441406
1632322832.0780585,311,-238.2146453857422
1632322834.8203592,312,-228.4467010498047
1632322836.0381749,313,-45.753883361816406
1632322837.8834534,314,-163.1995391845703
1632322838.979613,315,-51.82450866699219
1632322840.0042882,316,-16.221033096313477
1632322845.4757175,317,244.77774047851562
1632322846.1788893,318,26.140235900878906
1632322846.8184745,319,-37.56665802001953
1632322848.237362,320,-147.05760192871094
1632322853.2492342,321,-80.97232055664062
1632322856.7232199,322,167.95790100097656
1632322857.4742055,323,-144.7069549560547
1632322858.1987255,324,-272.9806213378906
1632322858.940565,325,-27.490476608276367
1632322859.5671089,326,43.71591567993164
1632322860.4571614,327,-117.1788101196289
1632322862.4177094,328,248.53970336914062
1632322868.001891,329,172.64454650878906
1632322869.9821386,330,-6.277475833892822
1632322871.0645897,331,0.22186177968978882
1632322872.1547368,332,-9.177857398986816
1632322873.7433004,333,182.12855529785156
1632322880.3239703,334,181.23675537109375
1632322886.2430823,335,-352.3623352050781
1632322886.9337947,336,-183.87417602539062
1632322887.587658,337,-206.7884979248047
1632322888.3189201,338,-115.75813293457031
1632322889.0223596,339,-173.09523010253906
1632322892.9063125,340,-75.56383514404297
1632322901.4852571,341,-63.8716926574707
1632322910.9814472,342,-0.6029142737388611
1632322911.600897,343,-46.79848861694336
1632322914.1518955,344,-354.878662109375
1632322915.0923193,345,-113.44042205810547
1632322915.8797984,346,-7.9653096199035645
1632322925.7793846,347,-44.83080291748047
1632322926.470963,348,-110.51394653320312
1632322928.8613598,349,-58.98603057861328
1632322929.830126,350,-366.0835266113281
1632322939.2523212,351,-53.33660888671875
1632322939.9557195,352,-165.91624450683594
1632322940.6688938,353,-19.97984504699707
1632322941.232335,354,-121.1129150390625
1632322941.875402,355,-162.97171020507812
1632322942.5332973,356,-298.5002746582031
1632322943.136259,357,-82.70523834228516
1632322943.731186,358,-364.7301025390625
1632322953.292773,359,55.94978332519531
1632322953.913133,360,-31.11880874633789
1632322958.9478886,361,190.92422485351562
1632322967.4785323,362,120.15248107910156
1632322968.1863642,363,-18.571144104003906
1632322968.8993664,364,-17.28624153137207
1632322970.6217954,365,-122.95856475830078
1632322976.5692732,366,229.2022247314453
1632322977.902303,367,277.83038330078125
1632322978.7848322,368,9.011682510375977
1632322979.5924723,369,9.305987358093262
1632322982.0679708,370,199.61431884765625
1632322983.0555525,371,3.253818988800049
1632322985.3794155,372,204.50051879882812
1632322985.8823514,373,-197.36546325683594
1632322986.7500484,374,38.998355865478516
1632322991.4510515,375,219.2166748046875
1632322992.5231755,376,36.853511810302734
